,sn,Correct_rate,Wrong_rate,Unknown_rate,total,quantile
0.0,0.0,0.16,0.03,0.07,780.0,0%
0.01,0.19,0.19420000000000004,0.031900000000000005,0.0719,821.8000000000001,1%
0.05,0.9500000000000001,0.33100000000000007,0.03950000000000001,0.0795,989.0000000000001,5%
0.1,1.9000000000000001,0.49300000000000005,0.04,0.089,1000.0,10%
0.5,9.5,0.7,0.07500000000000001,0.19,1000.0,50%
0.9,17.1,0.82,0.14200000000000004,0.38500000000000034,1000.0,90%
0.95,18.05,0.821,0.16300000000000003,0.6205000000000002,1000.0,95%
0.99,18.81,0.8361999999999999,0.20859999999999992,0.7800999999999997,1000.0,99%
1.0,19.0,0.84,0.22,0.82,1000.0,100%
